gID	Description	MMETSP_ID	KeggID	Kegg Definition	Module Definition	Submodule1
Throt2991	Locus2496v1rpkm38.91		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020]	Central carbohydrate metabolism
Throt2991	Locus2496v1rpkm38.91		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P [PATH:map01200 map00030]	Central carbohydrate metabolism
Throt2991	Locus2496v1rpkm38.91		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	Other carbohydrate metabolism
Throt4749	Locus3945v1rpkm25.84		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	Carbon fixation
Throt4749	Locus3945v1rpkm25.84		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P [PATH:map01200 map00710]	Carbon fixation
Throt4749	Locus3945v1rpkm25.84		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map01200 map00010]	Central carbohydrate metabolism
Throt4749	Locus3945v1rpkm25.84		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis, core module involving three-carbon compounds [PATH:map01200 map01230 map00010]	Central carbohydrate metabolism
Throt4749	Locus3945v1rpkm25.84		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020]	Central carbohydrate metabolism
Throt4749	Locus3945v1rpkm25.84		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P [PATH:map01200 map00030]	Central carbohydrate metabolism
Throt4749	Locus3945v1rpkm25.84		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	Other carbohydrate metabolism
Throt6631	Locus5470v1rpkm19.08		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	Carbon fixation
Throt6631	Locus5470v1rpkm19.08		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P [PATH:map01200 map00710]	Carbon fixation
Throt6631	Locus5470v1rpkm19.08		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map01200 map00010]	Central carbohydrate metabolism
Throt6631	Locus5470v1rpkm19.08		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis, core module involving three-carbon compounds [PATH:map01200 map01230 map00010]	Central carbohydrate metabolism
Throt6631	Locus5470v1rpkm19.08		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020]	Central carbohydrate metabolism
Throt6631	Locus5470v1rpkm19.08		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P [PATH:map01200 map00030]	Central carbohydrate metabolism
Throt6631	Locus5470v1rpkm19.08		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	Other carbohydrate metabolism
Skcos4407	CAMNT_0000285287	MMETSP0013_2-20120614|16013 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	Carbon fixation
Skcos4407	CAMNT_0000285287	MMETSP0013_2-20120614|16013 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P [PATH:map01200 map00710]	Carbon fixation
Skcos4407	CAMNT_0000285287	MMETSP0013_2-20120614|16013 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map01200 map00010]	Central carbohydrate metabolism
Skcos4407	CAMNT_0000285287	MMETSP0013_2-20120614|16013 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis, core module involving three-carbon compounds [PATH:map01200 map01230 map00010]	Central carbohydrate metabolism
Skcos4407	CAMNT_0000285287	MMETSP0013_2-20120614|16013 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020]	Central carbohydrate metabolism
Skcos4407	CAMNT_0000285287	MMETSP0013_2-20120614|16013 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P [PATH:map01200 map00030]	Central carbohydrate metabolism
Skcos4407	CAMNT_0000285287	MMETSP0013_2-20120614|16013 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	Other carbohydrate metabolism
Skcos6278	CAMNT_0000270383	MMETSP0013_2-20120614|8561 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	Carbon fixation
Skcos6278	CAMNT_0000270383	MMETSP0013_2-20120614|8561 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P [PATH:map01200 map00710]	Carbon fixation
Skcos6278	CAMNT_0000270383	MMETSP0013_2-20120614|8561 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map01200 map00010]	Central carbohydrate metabolism
Skcos6278	CAMNT_0000270383	MMETSP0013_2-20120614|8561 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis, core module involving three-carbon compounds [PATH:map01200 map01230 map00010]	Central carbohydrate metabolism
Skcos6278	CAMNT_0000270383	MMETSP0013_2-20120614|8561 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020]	Central carbohydrate metabolism
Skcos6278	CAMNT_0000270383	MMETSP0013_2-20120614|8561 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P [PATH:map01200 map00030]	Central carbohydrate metabolism
Skcos6278	CAMNT_0000270383	MMETSP0013_2-20120614|8561 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	Other carbohydrate metabolism
Skcos9436	CAMNT_0000261645	MMETSP0013_2-20120614|4192 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	Carbon fixation
Skcos9436	CAMNT_0000261645	MMETSP0013_2-20120614|4192 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P [PATH:map01200 map00710]	Carbon fixation
Skcos9436	CAMNT_0000261645	MMETSP0013_2-20120614|4192 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map01200 map00010]	Central carbohydrate metabolism
Skcos9436	CAMNT_0000261645	MMETSP0013_2-20120614|4192 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis, core module involving three-carbon compounds [PATH:map01200 map01230 map00010]	Central carbohydrate metabolism
Skcos9436	CAMNT_0000261645	MMETSP0013_2-20120614|4192 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020]	Central carbohydrate metabolism
Skcos9436	CAMNT_0000261645	MMETSP0013_2-20120614|4192 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P [PATH:map01200 map00030]	Central carbohydrate metabolism
Skcos9436	CAMNT_0000261645	MMETSP0013_2-20120614|4192 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	Other carbohydrate metabolism
Skcos12192	CAMNT_0000254651	MMETSP0013_2-20120614|695 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	Carbon fixation
Skcos12192	CAMNT_0000254651	MMETSP0013_2-20120614|695 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P [PATH:map01200 map00710]	Carbon fixation
Skcos12192	CAMNT_0000254651	MMETSP0013_2-20120614|695 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map01200 map00010]	Central carbohydrate metabolism
Skcos12192	CAMNT_0000254651	MMETSP0013_2-20120614|695 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis, core module involving three-carbon compounds [PATH:map01200 map01230 map00010]	Central carbohydrate metabolism
Skcos12192	CAMNT_0000254651	MMETSP0013_2-20120614|695 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020]	Central carbohydrate metabolism
Skcos12192	CAMNT_0000254651	MMETSP0013_2-20120614|695 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P [PATH:map01200 map00030]	Central carbohydrate metabolism
Skcos12192	CAMNT_0000254651	MMETSP0013_2-20120614|695 	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	Other carbohydrate metabolism
Throt175	Locus173v1rpkm645.21		K02969	RP-S20e, RPS20; small subunit ribosomal protein S20e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Throt13637	Locus10864v1rpkm9.08		K02969	RP-S20e, RPS20; small subunit ribosomal protein S20e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Skcos3994	CAMNT_0000270413	MMETSP0013_2-20120614|8576 	K02969	RP-S20e, RPS20; small subunit ribosomal protein S20e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Throt178	Locus176v1rpkm632.82		K02865	RP-L10Ae, RPL10A; large subunit ribosomal protein L10Ae	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Throt6104	Locus5036v1rpkm20.68		K02865	RP-L10Ae, RPL10A; large subunit ribosomal protein L10Ae	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Throt15428	Locus12183v1rpkm7.80		K02865	RP-L10Ae, RPL10A; large subunit ribosomal protein L10Ae	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Skcos1222	CAMNT_0000270399	MMETSP0013_2-20120614|8569 	K02865	RP-L10Ae, RPL10A; large subunit ribosomal protein L10Ae	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Throt179	Locus177v1rpkm631.13		K03883	ND5; NADH-ubiquinone oxidoreductase chain 5 [EC:1.6.5.3]	NADH:ubiquinone oxidoreductase, mitochondria [PATH:map00190]	ATP synthesis
Throt186	Locus185v1rpkm606.54		K02951	RP-S12e, RPS12; small subunit ribosomal protein S12e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Throt17639	Locus13877v1rpkm6.35		K02951	RP-S12e, RPS12; small subunit ribosomal protein S12e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Skcos7763	CAMNT_0000261751	MMETSP0013_2-20120614|4245 	K02951	RP-S12e, RPS12; small subunit ribosomal protein S12e	Ribosome, eukaryotes [PATH:map03010] [BR:ko03011]	Ribosome
Throt207	Locus206v1rpkm514.99		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Throt207	Locus206v1rpkm514.99		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Guanine ribonucleotide biosynthesis IMP => GDP,GTP [PATH:map00230]	Purine metabolism
Throt207	Locus206v1rpkm514.99		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP [PATH:map00240]	Pyrimidine metabolism
Throt207	Locus206v1rpkm514.99		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP [PATH:map00240]	Pyrimidine metabolism
Throt4894	Locus4066v1rpkm25.03		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Throt4894	Locus4066v1rpkm25.03		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Guanine ribonucleotide biosynthesis IMP => GDP,GTP [PATH:map00230]	Purine metabolism
Throt4894	Locus4066v1rpkm25.03		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP [PATH:map00240]	Pyrimidine metabolism
Throt4894	Locus4066v1rpkm25.03		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP [PATH:map00240]	Pyrimidine metabolism
Throt9779	Locus7943v1rpkm13.02		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Throt9779	Locus7943v1rpkm13.02		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Guanine ribonucleotide biosynthesis IMP => GDP,GTP [PATH:map00230]	Purine metabolism
Throt9779	Locus7943v1rpkm13.02		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP [PATH:map00240]	Pyrimidine metabolism
Throt9779	Locus7943v1rpkm13.02		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP [PATH:map00240]	Pyrimidine metabolism
Throt9780	Locus7943v2rpkm5.22		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Throt9780	Locus7943v2rpkm5.22		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Guanine ribonucleotide biosynthesis IMP => GDP,GTP [PATH:map00230]	Purine metabolism
Throt9780	Locus7943v2rpkm5.22		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP [PATH:map00240]	Pyrimidine metabolism
Throt9780	Locus7943v2rpkm5.22		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP [PATH:map00240]	Pyrimidine metabolism
Throt15894	Locus12552v1rpkm7.47		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Throt15894	Locus12552v1rpkm7.47		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Guanine ribonucleotide biosynthesis IMP => GDP,GTP [PATH:map00230]	Purine metabolism
Throt15894	Locus12552v1rpkm7.47		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP [PATH:map00240]	Pyrimidine metabolism
Throt15894	Locus12552v1rpkm7.47		K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP [PATH:map00240]	Pyrimidine metabolism
Skcos2955	CAMNT_0000282775	MMETSP0013_2-20120614|14757 	K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Skcos2955	CAMNT_0000282775	MMETSP0013_2-20120614|14757 	K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Guanine ribonucleotide biosynthesis IMP => GDP,GTP [PATH:map00230]	Purine metabolism
Skcos2955	CAMNT_0000282775	MMETSP0013_2-20120614|14757 	K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP [PATH:map00240]	Pyrimidine metabolism
Skcos2955	CAMNT_0000282775	MMETSP0013_2-20120614|14757 	K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP [PATH:map00240]	Pyrimidine metabolism
Skcos4089	CAMNT_0000275017	MMETSP0013_2-20120614|10878 	K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP [PATH:map00230]	Purine metabolism
Skcos4089	CAMNT_0000275017	MMETSP0013_2-20120614|10878 	K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Guanine ribonucleotide biosynthesis IMP => GDP,GTP [PATH:map00230]	Purine metabolism
Skcos4089	CAMNT_0000275017	MMETSP0013_2-20120614|10878 	K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP [PATH:map00240]	Pyrimidine metabolism
Skcos4089	CAMNT_0000275017	MMETSP0013_2-20120614|10878 	K00940	E2.7.4.6, ndk; nucleoside-diphosphate kinase [EC:2.7.4.6]	Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP [PATH:map00240]	Pyrimidine metabolism
