	KEGG	Definition
K12837	['Skcos12919']	splicing factor U2AF 65 kDa subunit
K10580	['Skcos12956']	ubiquitin-conjugating enzyme E2 N [EC:6.3.2.19]
K07238	['Skcos12973', 'Skcos23949', 'Skcos26416']	zinc transporter, ZIP family
K17262	['Skcos13032']	tubulin-folding cofactor B
K06636	['Skcos13038']	structural maintenance of chromosome 1
K01870	['Skcos1305', 'Skcos14422', 'Skcos17560']	isoleucyl-tRNA synthetase [EC:6.1.1.5]
K00509	['Skcos13060', 'Skcos27266']	prostaglandin-endoperoxide synthase 1 [EC:1.14.99.1]
K10085	['Skcos13061']	ER degradation enhancer, mannosidase alpha-like 2
K00236	['Skcos13065']	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K12492	['Skcos13074']	ADP-ribosylation factor GTPase-activating protein 1
K01419	['Skcos13113']	ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]
K01953	['Skcos13126']	asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
K00140	['Skcos13141']	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.181.2.1.27]
K07112	['Skcos13148']	COG:&nbsp;COG2391
K11204	['Skcos13149']	glutamate--cysteine ligase catalytic subunit [EC:6.3.2.2]
K09420	['Skcos13157', 'Skcos9980']	myb proto-oncogene protein
K01312	['Skcos13186', 'Skcos24199', 'Skcos6138']	trypsin [EC:3.4.21.4]
K01724	['Skcos13234', 'Skcos16422']	4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]
K12373	['Skcos13245', 'Skcos15082', 'Skcos22827', 'Skcos3111', 'Skcos6185', 'Skcos6794']	hexosaminidase [EC:3.2.1.52]
K01490	['Skcos13283']	AMP deaminase [EC:3.5.4.6]
K01280	['Skcos13288']	tripeptidyl-peptidase II [EC:3.4.14.10]
K10903	['Skcos13325']	HUS1 checkpoint protein
K00102	['Skcos13423']	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K10251	['Skcos1348']	17beta-estradiol 17-dehydrogenase / very-long-chain 3-oxoacyl-CoA reductase [EC:1.1.1.621.1.1.330]
K01510	['Skcos13531']	apyrase [EC:3.6.1.5]
K00294	['Skcos13556']	1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
K03715	['Skcos13560']	1,2-diacylglycerol 3-beta-galactosyltransferase [EC:2.4.1.46]
K00799	['Skcos13574', 'Skcos6952']	glutathione S-transferase [EC:2.5.1.18]
K01810	['Skcos13612']	glucose-6-phosphate isomerase [EC:5.3.1.9]
K03953	['Skcos13648']	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9
K10258	['Skcos1365']	very-long-chain enoyl-CoA reductase [EC:1.3.1.93]
K13539	['Skcos13728']	leishmanolysin-like peptidase [EC:3.4.24.-]
K00327	['Skcos13768']	NADPH-ferrihemoprotein reductase [EC:1.6.2.4]
K08903	['Skcos13777']	photosystem II 13kDa protein
K01115	['Skcos13785']	phospholipase D1/2 [EC:3.1.4.4]
K01754	['Skcos138']	threonine dehydratase [EC:4.3.1.19]
K16055	['Skcos13818', 'Skcos6710', 'Skcos7380', 'Skcos9230']	trehalose 6-phosphate synthase/phosphatase [EC:2.4.1.153.1.3.12]
K01868	['Skcos1383']	threonyl-tRNA synthetase [EC:6.1.1.3]
K01697	['Skcos13841']	cystathionine beta-synthase [EC:4.2.1.22]
K01875	['Skcos1385']	seryl-tRNA synthetase [EC:6.1.1.11]
K00901	['Skcos13939']	diacylglycerol kinase (ATP dependent) [EC:2.7.1.107]
K10413	['Skcos13951']	dynein heavy chain 1, cytosolic
K10691	['Skcos13995', 'Skcos7345']	E3 ubiquitin-protein ligase UBR4 [EC:6.3.2.19]
K03125	['Skcos13996']	transcription initiation factor TFIID subunit 1
K03178	['Skcos13997', 'Skcos15791', 'Skcos19871', 'Skcos5725']	ubiquitin-activating enzyme E1 [EC:6.3.2.19]
K00605	['Skcos14']	aminomethyltransferase [EC:2.1.2.10]
K17686	['Skcos14004', 'Skcos2945']	Cu+-exporting ATPase [EC:3.6.3.54]
K03696	['Skcos14031', 'Skcos17077']	ATP-dependent Clp protease ATP-binding subunit ClpC
K14006	['Skcos14094']	protein transport protein SEC23
K01845	['Skcos1411']	glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]
K04615	['Skcos14113', 'Skcos45']	gamma-aminobutyric acid type B receptor
K03036	['Skcos1413']	26S proteasome regulatory subunit N6
K09523	['Skcos14186']	DnaJ homolog subfamily C member 3
K12605	['Skcos1426']	CCR4-NOT transcription complex subunit 2
K07555	['Skcos14288']	ATP synthase mitochondrial F1 complex assembly factor 1
K08823	['Skcos14292']	CDC-like kinase [EC:2.7.12.1]
K12304	['Skcos14306']	soluble calcium-activated nucleotidase 1 [EC:3.6.1.6]
K01802	['Skcos1432', 'Skcos16035']	peptidylprolyl isomerase [EC:5.2.1.8]
K10357	['Skcos1433', 'Skcos27096']	myosin V
K00942	['Skcos14352', 'Skcos19664', 'Skcos6048']	guanylate kinase [EC:2.7.4.8]
K00228	['Skcos14382']	coproporphyrinogen III oxidase [EC:1.3.3.3]
K03564	['Skcos14438']	peroxiredoxin Q/BCP [EC:1.11.1.15]
K09259	['Skcos14475']	ankyrin only family, other
K07376	['Skcos1450', 'Skcos23134', 'Skcos27142']	protein kinase, cGMP-dependent [EC:2.7.11.12]
K01881	['Skcos14512', 'Skcos21037', 'Skcos8998']	prolyl-tRNA synthetase [EC:6.1.1.15]
K17086	['Skcos14616', 'Skcos3292']	transmembrane 9 superfamily member 2/4
K14550	['Skcos14644', 'Skcos17700']	U3 small nucleolar RNA-associated protein 10
K13207	['Skcos14655']	CUG-BP- and ETR3-like factor
K03062	['Skcos14668']	26S proteasome regulatory subunit T2
K03527	['Skcos14694']	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [EC:1.17.1.2]
K11824	['Skcos14750']	AP-2 complex subunit alpha
K00816	['Skcos14839']	kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase [EC:2.6.1.74.4.1.132.6.1.64]
K08776	['Skcos14910']	puromycin-sensitive aminopeptidase [EC:3.4.11.-]
K01469	['Skcos14930']	5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]
K01914	['Skcos14945']	aspartate--ammonia ligase [EC:6.3.1.1]
K15276	['Skcos14959']	solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B2
K01939	['Skcos15028', 'Skcos17459']	adenylosuccinate synthase [EC:6.3.4.4]
K00417	['Skcos15081', 'Skcos23690']	ubiquinol-cytochrome c reductase subunit 7
K07390	['Skcos15088', 'Skcos5451']	monothiol glutaredoxin
K01358	['Skcos15092', 'Skcos18918', 'Skcos2292', 'Skcos5477']	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
K03783	['Skcos15100']	purine-nucleoside phosphorylase [EC:2.4.2.1]
K01784	['Skcos15147']	UDP-glucose 4-epimerase [EC:5.1.3.2]
K03868	['Skcos15205']	RING-box protein 1
K00264	['Skcos15292']	glutamate synthase (NADPH/NADH) [EC:1.4.1.131.4.1.14]
K12874	['Skcos15330', 'Skcos24492']	intron-binding protein aquarius
K02938	['Skcos15339', 'Skcos384']	large subunit ribosomal protein L8e
K04345	['Skcos1535']	protein kinase A [EC:2.7.11.11]
K00710	['Skcos15409']	polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41]
K00921	['Skcos15424', 'Skcos20427', 'Skcos8835']	1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]
K00464	['Skcos15449', 'Skcos9173']	all-trans-8'-apo-beta-carotenal 15,15'-oxygenase [EC:1.13.11.75]
K00627	['Skcos15454', 'Skcos5779']	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
K06207	['Skcos1549']	GTP-binding protein
K08504	['Skcos15518']	blocked early in transport 1
K12183	['Skcos15524', 'Skcos16295', 'Skcos2384']	ESCRT-I complex subunit TSG101
K10276	['Skcos15545', 'Skcos7249']	F-box and leucine-rich repeat protein 10/11 [EC:1.14.11.27]
K12850	['Skcos15558', 'Skcos8546']	pre-mRNA-splicing factor 38B
K00654	['Skcos15594', 'Skcos18151']	serine palmitoyltransferase [EC:2.3.1.50]
K00323	['Skcos15664']	NAD(P) transhydrogenase [EC:1.6.1.2]
K01090	['Skcos15672']	protein phosphatase [EC:3.1.3.16]
K13094	['Skcos15708', 'Skcos17572', 'Skcos5120']	RNA-binding protein 5/10
K12196	['Skcos158']	vacuolar protein-sorting-associated protein 4
K17609	['Skcos15834', 'Skcos1712']	nucleoredoxin [EC:1.8.1.8]
K09490	['Skcos15839', 'Skcos3567']	heat shock 70kDa protein 5
K08675	['Skcos15844', 'Skcos21928']	Lon-like ATP-dependent protease [EC:3.4.21.-]
K08568	['Skcos15872', 'Skcos17605', 'Skcos2991']	cathepsin X [EC:3.4.18.1]
K06013	['Skcos15959']	STE24 endopeptidase [EC:3.4.24.84]
K09250	['Skcos15962']	cellular nucleic acid-binding protein
K11840	['Skcos15963']	ubiquitin carboxyl-terminal hydrolase 9/24 [EC:3.4.19.12]
K01462	['Skcos16025']	peptide deformylase [EC:3.5.1.88]
K14721	['Skcos16141', 'Skcos22548']	DNA-directed RNA polymerase III subunit RPC5
K09493	['Skcos16152']	T-complex protein 1 subunit alpha
K00390	['Skcos16169']	phosphoadenosine phosphosulfate reductase [EC:1.8.4.8]
K17969	['Skcos16220', 'Skcos3780']	mitochondrial fission 1 protein
K17263	['Skcos16241']	cullin-associated NEDD8-dissociated protein 1
K03526	['Skcos16297']	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1]
K17500	['Skcos16327', 'Skcos2598']	integrin-linked kinase-associated serine/threonine phosphatase 2C [EC:3.1.3.16]
K12493	['Skcos16431']	ADP-ribosylation factor GTPase-activating protein 2/3
K10589	['Skcos16438', 'Skcos8582']	ubiquitin-protein ligase E3 C [EC:6.3.2.19]
K03941	['Skcos16567']	NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:1.6.5.31.6.99.3]
K05316	['Skcos16581']	voltage-dependent calcium channel alpha-2/delta, invertebrate
K11292	['Skcos16590', 'Skcos8272']	transcription elongation factor SPT6
K00297	['Skcos16592']	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]
K06067	['Skcos1663']	histone deacetylase 1/2 [EC:3.5.1.98]
K01535	['Skcos16711', 'Skcos8297']	H+-transporting ATPase [EC:3.6.3.6]
K00826	['Skcos16722']	branched-chain amino acid aminotransferase [EC:2.6.1.42]
K13024	['Skcos16771']	inositol hexakisphosphate/diphosphoinositol-pentakisphosphate kinase [EC:2.7.4.212.7.4.24]
K08832	['Skcos1678']	serine/threonine-protein kinase SRPK3 [EC:2.7.11.1]
K03283	['Skcos16857', 'Skcos3750']	heat shock 70kDa protein 1/8
K13274	['Skcos16866']	cell wall-associated protease [EC:3.4.21.-]
K14209	['Skcos16883']	solute carrier family 36 (proton-coupled amino acid transporter)
K10661	['Skcos16946']	E3 ubiquitin-protein ligase MARCH6 [EC:6.3.2.19]
K00517	['Skcos16958', 'Skcos8735']	ko00363&nbsp;&nbsp;
K07300	['Skcos1697', 'Skcos5390', 'Skcos7848']	Ca2+:H+ antiporter
K02154	['Skcos17035']	V-type H+-transporting ATPase subunit a
K06669	['Skcos17067']	structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6)
K02377	['Skcos17094', 'Skcos7396']	GDP-L-fucose synthase [EC:1.1.1.271]
K13289	['Skcos17206', 'Skcos6273']	cathepsin A (carboxypeptidase C) [EC:3.4.16.5]
K14411	['Skcos17258']	RNA-binding protein Musashi
K07877	['Skcos17288']	Ras-related protein Rab-2A
K01365	['Skcos17295', 'Skcos6825']	cathepsin L [EC:3.4.22.15]
K09540	['Skcos17310', 'Skcos5493']	translocation protein SEC63
K01807	['Skcos1732']	ribose 5-phosphate isomerase A [EC:5.3.1.6]
K03531	['Skcos17470']	cell division protein FtsZ
K00548	['Skcos17494']	5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
K04564	['Skcos17559']	superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
K02604	['Skcos17588']	origin recognition complex subunit 2
K00434	['Skcos17632', 'Skcos258']	L-ascorbate peroxidase [EC:1.11.1.11]
K07004	['Skcos17794']	COG:&nbsp;COG2374
K10256	['Skcos1786']	omega-6 fatty acid desaturase (delta-12 desaturase) [EC:1.14.19.-]
K02137	['Skcos17883']	F-type H+-transporting ATPase subunit O
K10144	['Skcos17887']	RING finger and CHY zinc finger domain-containing protein 1 [EC:6.3.2.19]
K01008	['Skcos17937']	selenide, water dikinase [EC:2.7.9.3]
K15292	['Skcos17999']	syntaxin-binding protein 1
K01101	['Skcos18060', 'Skcos3192']	4-nitrophenyl phosphatase [EC:3.1.3.41]
K13210	['Skcos18071', 'Skcos7260']	far upstream element-binding protein
K12191	['Skcos18090', 'Skcos2763']	charged multivesicular body protein 2A
K03841	['Skcos18112']	fructose-1,6-bisphosphatase I [EC:3.1.3.11]
K03671	['Skcos18141']	thioredoxin 1
K15272	['Skcos1815', 'Skcos2546', 'Skcos6542']	solute carrier family 35 (UDP-sugar transporter), member A1/2/3
K04487	['Skcos18177']	cysteine desulfurase [EC:2.8.1.7]
K01759	['Skcos18228']	lactoylglutathione lyase [EC:4.4.1.5]
K16344	['Skcos18235']	hepatitis B virus X-interacting protein
K09486	['Skcos18283']	hypoxia up-regulated 1
K14682	['Skcos18383']	amino-acid N-acetyltransferase [EC:2.3.1.1]
K01725	['Skcos18388']	cyanate lyase [EC:4.2.1.104]
K05665	['Skcos18414', 'Skcos18969', 'Skcos25040']	ATP-binding cassette, subfamily C (CFTR/MRP), member 1
K12307	['Skcos18422']	MFS transporter, ceroid-lipofuscinosis neuronal protein 7
K11295	['Skcos1846']	high mobility group protein B2
K17279	['Skcos1848', 'Skcos27316']	receptor expression-enhancing protein 5/6
K15033	['Skcos18665']	peptidyl-tRNA hydrolase ICT1 [EC:3.1.1.29]
K11096	['Skcos18793', 'Skcos5057']	small nuclear ribonucleoprotein D2
K01354	['Skcos1884', 'Skcos25866']	oligopeptidase B [EC:3.4.21.83]
K17498	['Skcos18936']	transcription factor SPN1
K13535	['Skcos1894']	cardiolipin-specific phospholipase [EC:3.1.1.-]
K03108	['Skcos18960']	signal recognition particle subunit SRP72
K00384	['Skcos19029', 'Skcos5496']	thioredoxin reductase (NADPH) [EC:1.8.1.9]
K12893	['Skcos19092']	splicing factor, arginine/serine-rich 4/5/6
K12856	['Skcos19146', 'Skcos5870']	pre-mRNA-processing factor 8
K03320	['Skcos1920', 'Skcos7870']	ammonium transporter, Amt family
K11839	['Skcos19233', 'Skcos4337', 'Skcos9679']	ubiquitin carboxyl-terminal hydrolase 8 [EC:3.4.19.12]
K03979	['Skcos19260']	GTP-binding protein
K02087	['Skcos1934']	cyclin-dependent kinase 1 [EC:2.7.11.222.7.11.23]
K07393	['Skcos1963']	putative glutathione S-transferase
K11857	['Skcos19651']	ubiquitin carboxyl-terminal hydrolase 47 [EC:3.4.19.12]
K15277	['Skcos19701', 'Skcos19789']	solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B3
K00472	['Skcos1974']	prolyl 4-hydroxylase [EC:1.14.11.2]
K03932	['Skcos19817', 'Skcos6035']	polyhydroxybutyrate depolymerase
K03405	['Skcos20012']	magnesium chelatase subunit I [EC:6.6.1.1]
K14327	['Skcos20066', 'Skcos5108']	regulator of nonsense transcripts 2
K00789	['Skcos2011']	S-adenosylmethionine synthetase [EC:2.5.1.6]
K15100	['Skcos20112']	solute carrier family 25 (mitochondrial citrate transporter), member 1
K18170	['Skcos20185']	complex III assembly factor LYRM7
K11253	['Skcos20206', 'Skcos4966']	histone H3
K03029	['Skcos2028']	26S proteasome regulatory subunit N10
K00962	['Skcos2029']	polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]
K10704	['Skcos2038']	ubiquitin-conjugating enzyme E2 variant
K03403	['Skcos20481']	magnesium chelatase subunit H [EC:6.6.1.1]
K03661	['Skcos20502']	V-type H+-transporting ATPase 21kDa proteolipid subunit
K11262	['Skcos20563', 'Skcos4084']	acetyl-CoA carboxylase / biotin carboxylase [EC:6.4.1.26.3.4.14]
K08341	['Skcos2057']	GABA(A) receptor-associated protein
K01885	['Skcos20571']	glutamyl-tRNA synthetase [EC:6.1.1.17]
K17491	['Skcos20683', 'Skcos5773']	protein phosphatase 4 regulatory subunit 3
K11254	['Skcos20788']	histone H4
K11137	['Skcos20792']	telomere length regulation protein
K06027	['Skcos20877', 'Skcos5073']	vesicle-fusing ATPase [EC:3.6.4.6]
K17339	['Skcos2089']	atlastin [EC:3.6.5.-]
K08955	['Skcos20959']	ATP-dependent metalloprotease [EC:3.4.24.-]
K12847	['Skcos20966', 'Skcos4540']	U4/U6.U5 tri-snRNP-associated protein 2
K09527	['Skcos21113']	DnaJ homolog subfamily C member 7
K00820	['Skcos21164', 'Skcos23984', 'Skcos9145']	glucosamine--fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]
K12398	['Skcos21198']	AP-3 complex subunit mu
K09489	['Skcos21512', 'Skcos22356']	heat shock 70kDa protein 4
K07375	['Skcos2156', 'Skcos27624']	tubulin beta
K01738	['Skcos21563']	cysteine synthase A [EC:2.5.1.47]
K03428	['Skcos21571']	magnesium-protoporphyrin O-methyltransferase [EC:2.1.1.11]
K10583	['Skcos21582']	ubiquitin-conjugating enzyme E2 S [EC:6.3.2.19]
K14403	['Skcos21592']	cleavage and polyadenylation specificity factor subunit 3 [EC:3.1.27.-]
